,y,SRCH_EFRT,PRDV_CNT,CAT_CNT,EVNT_CNT,SAL_PRD,day_off,SEX_CD,AVG_SAL_AMT,AGE_30,AGE_50,AGE_60,AGE_1020
88119,1,26,10,0,26,0,0,1,5412.307692307692,0,1,0,0
88120,1,6,2,0,6,0,0,1,5412.307692307692,0,1,0,0
88121,1,11,4,0,11,0,0,1,5412.307692307692,0,1,0,0
88122,1,13,4,0,13,0,1,1,5412.307692307692,0,1,0,0
88123,0,11,4,0,11,0,0,1,5412.307692307692,0,1,0,0
88124,1,6,2,0,6,0,1,1,5412.307692307692,0,1,0,0
88125,1,6,2,0,6,0,1,1,5412.307692307692,0,1,0,0
88126,1,6,2,0,6,0,1,1,5412.307692307692,0,1,0,0
88127,0,6,2,0,6,0,0,1,5412.307692307692,0,1,0,0
88128,0,5,1,0,5,0,0,1,5412.307692307692,0,1,0,0
88129,0,5,1,0,5,0,1,1,5412.307692307692,0,1,0,0
88130,0,5,1,0,5,0,1,1,5412.307692307692,0,1,0,0
88131,1,5,1,0,5,0,1,1,5412.307692307692,0,1,0,0
88132,1,5,1,0,5,0,1,1,5412.307692307692,0,1,0,0
88133,0,5,1,0,5,0,1,1,5412.307692307692,0,1,0,0
88134,1,5,1,0,5,0,1,1,5412.307692307692,0,1,0,0
88135,0,11,3,0,11,0,1,1,5412.307692307692,0,1,0,0
88136,0,8,2,0,8,0,1,1,5412.307692307692,0,1,0,0
88137,1,4,1,0,4,0,1,1,5412.307692307692,0,1,0,0
88138,0,5,1,0,5,0,0,1,5412.307692307692,0,1,0,0
88139,0,5,1,0,5,0,1,1,5412.307692307692,0,1,0,0
88140,1,4,0,-1,4,0,1,1,5412.307692307692,0,1,0,0
88141,0,6,1,0,6,0,0,1,5412.307692307692,0,1,0,0
88142,0,4,0,-1,4,0,1,1,5412.307692307692,0,1,0,0
88143,1,17,3,0,17,0,1,1,5412.307692307692,0,1,0,0
88144,0,4,0,-1,4,0,1,1,5412.307692307692,0,1,0,0
88145,1,9,1,0,9,0,1,1,5412.307692307692,0,1,0,0
88146,0,17,0,-1,17,0,0,1,5412.307692307692,0,1,0,0
88147,0,11,1,0,11,0,1,1,5412.307692307692,0,1,0,0
88148,0,12,4,1,12,5500,0,1,23200.0,0,1,0,0
